norm,method,solver,rows_total,rows_ok,rows_comparable,success_rate_ok,success_rate_comparable,n_mean,time_mean_s,time_median_s,time_p90_s,relerr_mean,relerr_median,relerr_p90
1,hager,auto,10.0,10.0,10.0,1.0,1.0,386.1,0.12361648753285408,0.1051445328630507,0.14807429113425308,2.096892869836617,0.7433958021462406,2.635088534539636
1,hager,cg,10.0,10.0,10.0,1.0,1.0,386.1,0.1836804159451276,0.1933767709415406,0.2130946709308773,151509738168867.0,2027660.4616060494,329995673560012.56
1,hager,direct,10.0,10.0,10.0,1.0,1.0,386.1,0.13448782921768726,0.1321334254462272,0.18294519279152155,2.096892869836257,0.7433958021461641,2.635088534539161
1,hager,gmres,10.0,10.0,10.0,1.0,1.0,386.1,0.7165421927347779,0.3123097976204008,2.449056369997561,0.9978210413715637,0.9977284218610081,0.9994860044942075
1,hager,lsmr,10.0,10.0,10.0,1.0,1.0,386.1,0.19377110521309077,0.19376048049889505,0.21706035062670706,0.9658038499770454,0.9662141680082904,0.9911240799763655
1,hager,lu,10.0,10.0,10.0,1.0,1.0,386.1,0.09720620452426373,0.09852307243272662,0.12094250717200339,2.096892869836617,0.7433958021462406,2.635088534539636
1,hager-higham,auto,10.0,10.0,10.0,1.0,1.0,386.1,0.10740869389846922,0.10633844905532897,0.13096788926050065,2.092747594318524,0.7433958021462405,2.635088534539637
1,hager-higham,cg,10.0,10.0,0.0,1.0,0.0,,,,,,,
1,hager-higham,direct,10.0,10.0,10.0,1.0,1.0,386.1,0.19521270417608322,0.19608984654769301,0.26783466986380516,2.0927475943181646,0.743395802146164,2.63508853453916
1,hager-higham,gmres,10.0,10.0,10.0,1.0,1.0,386.1,0.2181135519873351,0.22204622044228017,0.2344468128401786,0.9975655357530732,0.9974122745138355,0.9994864505933323
1,hager-higham,lsmr,10.0,10.0,10.0,1.0,1.0,386.1,0.34311034362763165,0.3581427615135908,0.475513019412756,0.9704478157237324,0.9646043277096807,0.9995546720054252
1,hager-higham,lu,10.0,10.0,10.0,1.0,1.0,386.1,0.10211072247475386,0.10309742041863501,0.12615600004792213,2.092747594318524,0.7433958021462405,2.635088534539637
1,monte-carlo,auto,10.0,10.0,10.0,1.0,1.0,386.1,8.486312417918816,8.460920772980899,10.193677431344986,1.0775215737492085,0.8187445618777338,1.3793023990773494
1,monte-carlo,cg,10.0,10.0,10.0,1.0,1.0,386.1,8.479895669501275,8.458295454503968,10.18113012718968,0.9087158150373753,0.6651477590936852,1.316378746048719
1,monte-carlo,direct,10.0,10.0,10.0,1.0,1.0,386.1,8.469924678513781,8.457230422878638,10.164009930612519,0.8298046080352341,0.66756302784392,1.1552012005287617
1,monte-carlo,gmres,10.0,10.0,10.0,1.0,1.0,386.1,8.47188583528623,8.446792664239183,10.168597462773324,2.000272448470617,0.7032188059298118,2.4191149666071166
1,monte-carlo,lsmr,10.0,10.0,10.0,1.0,1.0,386.1,8.47437371518463,8.454275670927018,10.170749854296446,0.8816858454807932,0.6523242993659191,1.1945320977766092
1,monte-carlo,lu,10.0,10.0,10.0,1.0,1.0,386.1,8.474946158565581,8.442431341856718,10.20180579321459,0.7602506658687297,0.6516261998598853,1.1138061213090364
1,oettli-prager,auto,10.0,10.0,10.0,1.0,1.0,386.1,0.1346766191534698,0.1351583106443286,0.17563203833997248,2.096892869836617,0.7433958021462406,2.635088534539636
1,oettli-prager,cg,10.0,10.0,10.0,1.0,1.0,386.1,0.5888343945611269,0.5824597629252821,0.7227696744259446,545617772560439.4,8797850552951.727,810285927343474.8
1,oettli-prager,direct,10.0,10.0,10.0,1.0,1.0,386.1,0.5460471445694566,0.5295881044585258,0.903772893641144,2.096892869836257,0.7433958021461641,2.635088534539161
1,oettli-prager,gmres,10.0,10.0,10.0,1.0,1.0,386.1,0.5156018892303109,0.49264205689541996,0.626455913297832,0.9972139445432188,0.9971939875004764,0.9994737600414912
1,oettli-prager,lsmr,10.0,10.0,10.0,1.0,1.0,386.1,1.2121926023159175,1.2343280070926994,1.4603779951110483,0.9648295318260901,0.9654400905228049,0.9915739120566429
1,oettli-prager,lu,10.0,10.0,10.0,1.0,1.0,386.1,0.1307989393826574,0.1352142619434744,0.16693565789610149,2.096892869836617,0.7433958021462406,2.635088534539636
1,power,auto,10.0,10.0,10.0,1.0,1.0,386.1,0.1194936066865921,0.11312043131329119,0.16707476139999927,0.9529394278648924,0.9772472668989507,0.9960588658471898
1,power,cg,10.0,10.0,0.0,1.0,0.0,,,,,,,
1,power,direct,10.0,10.0,10.0,1.0,1.0,386.1,0.7596262039151043,0.5314945168793201,1.6554951527155937,0.954485297445032,0.9847423414614341,0.9960074815335083
1,power,gmres,10.0,10.0,10.0,1.0,1.0,386.1,0.8061648583970964,0.7881893678568304,0.9472879724577069,0.9995131832498292,0.9995257738229094,0.9999045441667052
1,power,lsmr,10.0,10.0,10.0,1.0,1.0,386.1,2.709388450253755,2.7134097451344132,2.753123348066583,0.9984119320874317,0.9982763288081832,0.999644115986373
1,power,lu,10.0,10.0,10.0,1.0,1.0,386.1,0.11832067389041186,0.11074336455203593,0.16547575453296304,0.9522916463685067,0.9792631452190304,0.9959730294329371
2,eigsh,,10.0,10.0,10.0,1.0,1.0,386.1,0.09349754713475704,0.09381246706470847,0.09926373423077166,0.8453167161796452,0.8547305684516402,0.9561143391284093
2,golub-kahan,,10.0,10.0,10.0,1.0,1.0,386.1,0.3737509634811431,0.3735605070833117,0.3759363071061671,0.7663767784287361,0.7213001510421226,0.9482308274725594
2,lanczos,,10.0,10.0,10.0,1.0,1.0,386.1,0.07060006512328983,0.06780927116051316,0.07736437455751001,0.7271004509839196,0.7125970778370403,0.9364092185262431
